Canonical ID,System,Source frame,Reported operational encoder/retriever,Interface class,Reported pooling,Inferred extraction/representation,Basis for inference,Primary-source evidence,Extraction step established,Superseded coding rationale,Coding stability,Core tier,Expanded tier,Adversarial tier,Confidence,Confirmed affected,Rung 1: no assumptions,Rung 2: contrastive training implies non-membership,Rung 3: vendor claims accepted,Rung 4: non-dense excluded,Audit note,Primary source URL,Review/source URL
A18,Jeong / Self-BioRAG,Amugongo,MedCPT,self-hosted checkpoint,not reported as such,,,,,,stable across frames,Tier 1,Tier 1,Tier 1,High,no,unknown,coded unaffected,coded unaffected,coded unaffected,MedCPT is contrastively trained on PubMed search logs.,https://doi.org/10.1093/bioinformatics/btae238,https://journals.plos.org/digitalhealth/article?id=10.1371/journal.pdig.0000877
A19,Jia,Amugongo,BGE,self-hosted checkpoint,not reported as such,,,,,,stable across frames,Tier 1,Tier 1,Tier 1,Moderate,no,unknown,coded unaffected,coded unaffected,coded unaffected,Retrieval-trained embedding model.,,https://journals.plos.org/digitalhealth/article?id=10.1371/journal.pdig.0000877
A20,Jiang,Amugongo,BGE,self-hosted checkpoint,not reported as such,,,,,,stable across frames,Tier 1,Tier 1,Tier 1,Moderate,no,unknown,coded unaffected,coded unaffected,coded unaffected,Retrieval-trained embedding model.,,https://journals.plos.org/digitalhealth/article?id=10.1371/journal.pdig.0000877
A21,Jin [69],Amugongo,OpenAI text-embedding-ada-002,commercial interface,not reported as such,,,,,,stable across frames,Tier 1,Tier 1,Tier 1,Moderate,no,unknown,unknown,coded unaffected,coded unaffected,Dedicated embedding service.,,https://journals.plos.org/digitalhealth/article?id=10.1371/journal.pdig.0000877
A23,Hou,Amugongo,OpenAI text-embedding-3-small,commercial interface,not reported as such,,,,,,stable across frames,Tier 1,Tier 1,Tier 1,Moderate,no,unknown,unknown,coded unaffected,coded unaffected,Dedicated embedding service.,,https://journals.plos.org/digitalhealth/article?id=10.1371/journal.pdig.0000877
A25,Ke [73],Amugongo,OpenAI text-embedding-ada-002,commercial interface,not reported as such,,,,,,stable across frames,Tier 1,Tier 1,Tier 1,Moderate,no,unknown,unknown,coded unaffected,coded unaffected,Dedicated embedding service.,,https://journals.plos.org/digitalhealth/article?id=10.1371/journal.pdig.0000877
A27,Klang,Amugongo,GIST-large-embedding-v0,self-hosted checkpoint,not reported as such,,,,,,stable across frames,Tier 1,Tier 1,Tier 1,Moderate,no,unknown,coded unaffected,coded unaffected,coded unaffected,GISTEmbed is trained as a text-embedding/retrieval model.,,https://journals.plos.org/digitalhealth/article?id=10.1371/journal.pdig.0000877
A29,Lee,Amugongo,OpenAI embedding models,commercial interface,not reported as such,,,,,,stable across frames,Tier 1,Tier 1,Tier 1,Moderate,no,unknown,unknown,coded unaffected,coded unaffected,Dedicated embedding APIs.,,https://journals.plos.org/digitalhealth/article?id=10.1371/journal.pdig.0000877
A31,Li [80],Amugongo,OpenAI text-embedding-3-small,commercial interface,not reported as such,,,,,,stable across frames,Tier 1,Tier 1,Tier 1,Moderate,no,unknown,unknown,coded unaffected,coded unaffected,Dedicated embedding service.,,https://journals.plos.org/digitalhealth/article?id=10.1371/journal.pdig.0000877
A32,Long / ChatENT,Amugongo,OpenAI text-embedding-ada-002,commercial interface,not reported as such,,,,,,stable across frames,Tier 1,Tier 1,Tier 1,Moderate,no,unknown,unknown,coded unaffected,coded unaffected,Dedicated embedding service.,https://doi.org/10.1002/ohn.864,https://journals.plos.org/digitalhealth/article?id=10.1371/journal.pdig.0000877
A35,Luo,Amugongo,SBERT,self-hosted checkpoint,not reported as such,,,,,,stable across frames,Tier 1,Tier 1,Tier 1,Moderate,no,unknown,coded unaffected,coded unaffected,coded unaffected,Sentence-BERT is explicitly trained for sentence similarity.,,https://journals.plos.org/digitalhealth/article?id=10.1371/journal.pdig.0000877
A39,Murugan,Amugongo,OpenAI text-embedding-ada-002,commercial interface,not reported as such,,,,,,stable across frames,Tier 1,Tier 1,Tier 1,Moderate,no,unknown,unknown,coded unaffected,coded unaffected,Dedicated embedding service.,,https://journals.plos.org/digitalhealth/article?id=10.1371/journal.pdig.0000877
A40,Neupane,Amugongo,OpenAI text-embedding-ada-002,commercial interface,not reported as such,,,,,,stable across frames,Tier 1,Tier 1,Tier 1,Moderate,no,unknown,unknown,coded unaffected,coded unaffected,Dedicated embedding service.,,https://journals.plos.org/digitalhealth/article?id=10.1371/journal.pdig.0000877
A41,Ong [88],Amugongo,OpenAI text-embedding-ada-002 + bge-small-en-v1.5,commercial interface,not reported as such,,,,,,stable across frames,Tier 1,Tier 1,Tier 1,Moderate,no,unknown,unknown,coded unaffected,coded unaffected,Both dense components are dedicated retrieval embeddings.,,https://journals.plos.org/digitalhealth/article?id=10.1371/journal.pdig.0000877
A42,Painter,Amugongo,OpenAI text-embedding-ada-002,commercial interface,not reported as such,,,,,,stable across frames,Tier 1,Tier 1,Tier 1,Moderate,no,unknown,unknown,coded unaffected,coded unaffected,Dedicated embedding service.,,https://journals.plos.org/digitalhealth/article?id=10.1371/journal.pdig.0000877
A43,Pang,Amugongo,Fine-tuned embedding model,checkpoint unspecified,not reported as such,,,,,,stable across frames,Tier 1,Tier 1,Tier 1,Moderate,no,unknown,unknown,unknown,unknown,Operational embedding was explicitly fine-tuned for the task.,,https://journals.plos.org/digitalhealth/article?id=10.1371/journal.pdig.0000877
A44,Parmanto,Amugongo,BGE,self-hosted checkpoint,not reported as such,,,,,,stable across frames,Tier 1,Tier 1,Tier 1,Moderate,no,unknown,coded unaffected,coded unaffected,coded unaffected,Retrieval-trained embedding model.,,https://journals.plos.org/digitalhealth/article?id=10.1371/journal.pdig.0000877
A45,Quidwai,Amugongo,bge-small-en-v1.5,self-hosted checkpoint,not reported as such,,,,,,stable across frames,Tier 1,Tier 1,Tier 1,Moderate,no,unknown,coded unaffected,coded unaffected,coded unaffected,Retrieval-trained embedding checkpoint.,,https://journals.plos.org/digitalhealth/article?id=10.1371/journal.pdig.0000877
A46,Ranjit,Amugongo,ALBEF,not a pooled dense retriever,not reported as such,,,,,,stable across frames,Tier 1,Tier 1,Tier 1,Moderate,no,unknown,coded unaffected,coded unaffected,excluded,Contrastively trained multimodal retrieval model.,,https://journals.plos.org/digitalhealth/article?id=10.1371/journal.pdig.0000877
A47,Rau,Amugongo,OpenAI text-embedding-ada-002,commercial interface,not reported as such,,,,,,stable across frames,Tier 1,Tier 1,Tier 1,Moderate,no,unknown,unknown,coded unaffected,coded unaffected,Dedicated embedding service.,,https://journals.plos.org/digitalhealth/article?id=10.1371/journal.pdig.0000877
A48,Russe,Amugongo,OpenAI text-embedding-ada-002,commercial interface,not reported as such,,,,,,stable across frames,Tier 1,Tier 1,Tier 1,Moderate,no,unknown,unknown,coded unaffected,coded unaffected,Dedicated embedding service.,,https://journals.plos.org/digitalhealth/article?id=10.1371/journal.pdig.0000877
A50,Shi / Chat-Orthopedist,Amugongo,MPNet; primary article cites the original MPNet base-model paper,self-hosted checkpoint,not reported as such,classification-token ([CLS]) representation,"The primary article reports extraction of the [CLS] representation and identifies MPNet by reference to the original MPNet model (Song et al.) rather than a retrieval-trained sentence-embedding checkpoint. On the reported implementation the retrieval representation was therefore not shown to have been calibrated by a retrieval-specific objective. Membership follows from the extracted representation, not from the training label.","Section 3.2, doi:10.1145/3584371.3612956",yes - see Basis for inference,"workbook audit note records the original rationale (no similarity-tuned checkpoint identified), superseded; see Basis for inference","Tier 2 in core, expanded and adversarial frames; flagged ambiguous in the workbook under the superseded rationale, stable under the extracted-representation basis",Tier 2,Tier 2,Tier 2,High,yes,affected,affected,affected,affected,"Tier 2 on the basis of the representation actually extracted. The primary article reports extraction of the [CLS] representation (Section 3.2, doi:10.1145/3584371.3612956) and identifies MPNet by reference to the original MPNet model (Song et al.) rather than to a retrieval-trained sentence-embedding checkpoint. On the reported implementation the retrieval representation was therefore not shown to have been calibrated by a retrieval-specific objective. Membership follows from the extracted representation, not from the training label.",https://doi.org/10.1145/3584371.3612956,https://journals.plos.org/digitalhealth/article?id=10.1371/journal.pdig.0000877
A51,Soman / KG-RAG,Amugongo,PubMedBERT selected for context embeddings,self-hosted checkpoint,not reported as such,,,,"no - model family named, extraction step not reported",,stable across frames,Tier 2,Tier 2,Tier 2,High,no,unknown,unknown,unknown,unknown,Primary paper selected base PubMedBERT for semantic context pruning after model comparison.,https://doi.org/10.1093/bioinformatics/btae560,https://journals.plos.org/digitalhealth/article?id=10.1371/journal.pdig.0000877
A52,So,Amugongo,OpenAI text-embedding-ada-002,commercial interface,not reported as such,,,,,,stable across frames,Tier 1,Tier 1,Tier 1,Moderate,no,unknown,unknown,coded unaffected,coded unaffected,Dedicated embedding service.,,https://journals.plos.org/digitalhealth/article?id=10.1371/journal.pdig.0000877
A53,Soong,Amugongo,OpenAI text-embedding-ada-002,commercial interface,not reported as such,,,,,,stable across frames,Tier 1,Tier 1,Tier 1,Moderate,no,unknown,unknown,coded unaffected,coded unaffected,Dedicated embedding service.,https://arxiv.org/abs/2305.17116,https://journals.plos.org/digitalhealth/article?id=10.1371/journal.pdig.0000877
A54,Steybe / GuideGPT,Amugongo,OpenAI text-embedding-ada-002,commercial interface,not reported as such,,,,,,stable across frames,Tier 1,Tier 1,Tier 1,Moderate,no,unknown,unknown,coded unaffected,coded unaffected,Dedicated embedding service.,https://doi.org/10.1016/j.jcms.2024.12.009,https://journals.plos.org/digitalhealth/article?id=10.1371/journal.pdig.0000877
A56,Unlu / RECTIFIER,Amugongo,OpenAI text-embedding-ada-002,commercial interface,not reported as such,,,,,,stable across frames,Tier 1,Tier 1,Tier 1,Moderate,no,unknown,unknown,coded unaffected,coded unaffected,Dedicated embedding service.,https://doi.org/10.1101/2024.02.08.24302376,https://journals.plos.org/digitalhealth/article?id=10.1371/journal.pdig.0000877
A59,Wang [106],Amugongo,ColBERT,not a pooled dense retriever,not reported as such,,,,,,stable across frames,Tier 1,Tier 1,Tier 1,Moderate,no,unknown,coded unaffected,coded unaffected,excluded,ColBERT is explicitly trained for information retrieval.,,https://journals.plos.org/digitalhealth/article?id=10.1371/journal.pdig.0000877
A60,Wang [107] / RISE,Amugongo,OpenAI text-embedding-ada-002,commercial interface,not reported as such,,,,,,stable across frames,Tier 1,Tier 1,Tier 1,Moderate,no,unknown,unknown,coded unaffected,coded unaffected,Dedicated embedding service.,https://doi.org/10.2196/58041,https://journals.plos.org/digitalhealth/article?id=10.1371/journal.pdig.0000877
A61,Wornow,Amugongo,MiniLM + BGE,self-hosted checkpoint,not reported as such,,,,,,stable across frames,Tier 1,Tier 1,Tier 1,Moderate,no,unknown,coded unaffected,coded unaffected,coded unaffected,Named dense components are sentence/retrieval embedding models.,,https://journals.plos.org/digitalhealth/article?id=10.1371/journal.pdig.0000877
A63,Wu,Amugongo,OpenAI text-embedding-3-large,commercial interface,not reported as such,,,,,,stable across frames,Tier 1,Tier 1,Tier 1,Moderate,no,unknown,unknown,coded unaffected,coded unaffected,Dedicated embedding service.,,https://journals.plos.org/digitalhealth/article?id=10.1371/journal.pdig.0000877
A64,"Yu, Guo & Sano",Amugongo,OpenAI text-embedding-ada-002,commercial interface,not reported as such,,,,,,stable across frames,Tier 1,Tier 1,Tier 1,Moderate,no,unknown,unknown,coded unaffected,coded unaffected,Dedicated embedding service.,,https://journals.plos.org/digitalhealth/article?id=10.1371/journal.pdig.0000877
A65,Yu,Amugongo,MiniLM sentence embedding,self-hosted checkpoint,not reported as such,,,,,,stable across frames,Tier 1,Tier 1,Tier 1,Moderate,no,unknown,coded unaffected,coded unaffected,coded unaffected,Sentence-transformer family used for semantic retrieval.,,https://journals.plos.org/digitalhealth/article?id=10.1371/journal.pdig.0000877
A66,Zakka,Amugongo,OpenAI text-embedding-ada-002,commercial interface,not reported as such,,,,,,stable across frames,Tier 1,Tier 1,Tier 1,Moderate,no,unknown,unknown,coded unaffected,coded unaffected,Dedicated embedding service.,,https://journals.plos.org/digitalhealth/article?id=10.1371/journal.pdig.0000877
A67,Ziletti,Amugongo,bge-small-en-v1.5,self-hosted checkpoint,not reported as such,,,,,,stable across frames,Tier 1,Tier 1,Tier 1,Moderate,no,unknown,coded unaffected,coded unaffected,coded unaffected,Retrieval-trained embedding checkpoint.,,https://journals.plos.org/digitalhealth/article?id=10.1371/journal.pdig.0000877
A69,Zheng / RAGPR,Amugongo,FastText + SBERT + OpenAI text-embedding-3-large,commercial interface,not reported as such,,,,,,stable across frames,Tier 1,Tier 1,Tier 1,Moderate,no,unknown,unknown,coded unaffected,coded unaffected,Dense retrieval includes SBERT and a dedicated embedding API.,https://doi.org/10.3389/fpubh.2025.1501408,https://journals.plos.org/digitalhealth/article?id=10.1371/journal.pdig.0000877
A70,Zhuo,Amugongo,gte-base-zh with embedding fine-tuning,self-hosted checkpoint,not reported as such,,,,,,stable across frames,Tier 1,Tier 1,Tier 1,Moderate,no,unknown,coded unaffected,coded unaffected,coded unaffected,Retrieval-trained/fine-tuned embedding model.,,https://journals.plos.org/digitalhealth/article?id=10.1371/journal.pdig.0000877
H01,AskFDALabel,He,Sentence Transformer,checkpoint unspecified,not reported as such,,,,,,stable across frames,Tier 1,Tier 1,Tier 1,Moderate,no,unknown,unknown,unknown,unknown,Survey identifies Sentence Transformer/SBERT family; exact checkpoint not disclosed.,https://doi.org/10.1016/j.yrtph.2024.105613,https://arxiv.org/abs/2505.01146
H02,CaLM,He,BGE embedding,self-hosted checkpoint,not reported as such,,,,,,stable across frames,Tier 1,Tier 1,Tier 1,High,no,unknown,coded unaffected,coded unaffected,coded unaffected,BGE is retrieval/contrastive-trained.,,https://arxiv.org/abs/2505.01146
H06,RAG-GPT,He,BGE embedding,self-hosted checkpoint,not reported as such,,,,,,stable across frames,Tier 1,Tier 1,Tier 1,High,no,unknown,coded unaffected,coded unaffected,coded unaffected,BGE is retrieval/contrastive-trained.,https://doi.org/10.1038/s41598-024-81052-3,https://arxiv.org/abs/2505.01146
H11,DRAGON-AI,He,OpenAI text embedding,commercial interface,not reported as such,,,,,,stable across frames,Tier 1,Tier 1,Tier 1,High,no,unknown,unknown,coded unaffected,coded unaffected,Dedicated embedding service.,https://doi.org/10.1186/s13326-024-00320-3,https://arxiv.org/abs/2505.01146
H15,Endo-chat,He,OpenAI text embedding,commercial interface,not reported as such,,,,,,stable across frames,Tier 1,Tier 1,Tier 1,High,no,unknown,unknown,coded unaffected,coded unaffected,Dedicated embedding service.,https://doi.org/10.3389/fmed.2024.1500258,https://arxiv.org/abs/2505.01146
H20,InfectA-Chat,He,OpenAI text embedding,commercial interface,not reported as such,,,,,,stable across frames,Tier 1,Tier 1,Tier 1,High,no,unknown,unknown,coded unaffected,coded unaffected,Dedicated embedding service.,https://doi.org/10.2196/63881,https://arxiv.org/abs/2505.01146
H27,BiomedRAG,He,Tailored learned chunk scorer supervised by LLM,not a pooled dense retriever,not reported as such,,,,,,stable across frames,Tier 1,Tier 1,Tier 1,High,no,unknown,coded unaffected,coded unaffected,excluded,Primary paper trains an explicit retrieval scorer; survey label MedLLaMA refers to the broader architecture.,https://arxiv.org/abs/2405.00465,https://arxiv.org/abs/2505.01146
H33,RAMIE,He,MedCPT + Contriever + BMRetriever,self-hosted checkpoint,not reported as such,,,,,,stable across frames,Tier 1,Tier 1,Tier 1,High,no,unknown,coded unaffected,coded unaffected,coded unaffected,All named dense retrievers have explicit retrieval training.,,https://arxiv.org/abs/2505.01146
